,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w,information
6,Action_RUHSBLEZ,Perceiving,1611267411.0844712,1611267420.8544195,9.769948482513428,True,,,,,balea_bottle_0,,,,,,6,Action_RUHSBLEZ,1.8399996439615884,-0.3200001716613769,0.0,0.0,0.0,-0.06637578457593918,0.9977946877479552,
5,Action_UXDOTNZS,Perceiving,1611234737.3330562,1611234746.9808087,9.64775252342224,True,,,,,balea_bottle_0,,,,,,5,Action_UXDOTNZS,1.5999998728434244,-0.3600001335144043,0.0,0.0,0.0,0.055854331701993935,0.9984389543533324,
1,Action_QYLDCKHU,Perceiving,1611257933.397817,1611257942.5384831,9.140666246414183,True,,,,,balea_bottle_0,,,,,,1,Action_QYLDCKHU,1.679999796549479,-0.440000057220459,0.0,0.0,0.0,0.01973044686019421,0.9998053312301636,
4,Action_LKUIGORV,Perceiving,1611248339.2528381,1611248350.1148815,10.862043380737305,True,,,,,balea_bottle_0,,,,,,4,Action_LKUIGORV,1.5199999491373697,-0.5999998728434245,0.0,0.0,0.0,0.1354801058769226,0.9907800555229188,
0,Action_NXWPZYOT,Perceiving,1611256707.41965,1611256715.6862779,8.26662802696228,True,,,,,balea_bottle_0,,,,,,0,Action_NXWPZYOT,1.239999771118164,-0.4800000190734863,0.0,0.0,0.0,0.2460589110851288,0.9692549109458924,
9,Action_VLPWTHOG,Perceiving,1611291173.9300358,1611291181.1938426,7.2638068199157715,True,,,,,balea_bottle_0,,,,,,9,Action_VLPWTHOG,1.679999796549479,-0.4000000953674317,0.0,0.0,0.0,0.01735867187380791,0.9998493194580078,
4,Action_YJVORKSI,Perceiving,1611242360.402316,1611242367.1237128,6.7213966846466064,True,,,,,balea_bottle_0,,,,,,4,Action_YJVORKSI,1.6399998982747397,-0.6399998982747396,0.0,0.0,0.0,0.06409676373004912,0.9979436993598938,
0,Action_VPBRFSXE,Perceiving,1611251925.1046262,1611251933.0366714,7.932045221328735,True,,,,,balea_bottle_0,,,,,,0,Action_VPBRFSXE,2.03999989827474,-0.5199999809265137,0.0,0.0,0.0,-0.19213338196277616,0.9813688397407532,
4,Action_DCTPEYZS,Perceiving,1611231246.031818,1611231255.0173542,8.985536336898805,True,,,,,balea_bottle_0,,,,,,4,Action_DCTPEYZS,2.1999997456868488,-0.5199999809265137,0.0,0.0,0.0,-0.2740320563316345,0.9617205858230592,
3,Action_LIZYHJXC,Perceiving,1611266868.0096092,1611266876.9375393,8.927930355072021,True,,,,,balea_bottle_0,,,,,,3,Action_LIZYHJXC,2.1599998474121094,-0.4000000953674317,0.0,0.0,0.0,-0.2297477871179581,0.9732502102851868,
10,Action_IHUXPYCT,Perceiving,1611247613.1164446,1611247623.5004401,10.383995532989502,True,,,,,balea_bottle_0,,,,,,10,Action_IHUXPYCT,1.559999974568685,-0.2800002098083496,0.0,0.0,0.0,0.06748101115226746,0.9977205395698548,
0,Action_KEMJFXTZ,Perceiving,1611247011.1225142,1611247020.8105106,9.687996625900267,True,,,,,balea_bottle_0,,,,,,0,Action_KEMJFXTZ,1.879999669392904,-0.5999998728434245,0.0,0.0,0.0,-0.10551803559064864,0.9944174289703368,
4,Action_TYWXQPCH,Perceiving,1611254801.3765595,1611254808.7582881,7.381728172302246,True,,,,,balea_bottle_0,,,,,,4,Action_TYWXQPCH,2.1999997456868488,-0.3600001335144043,0.0,0.0,0.0,-0.23975475132465365,0.9708334803581238,
9,Action_BEKILRHV,Perceiving,1611254830.1959407,1611254837.545225,7.349283933639526,True,,,,,balea_bottle_0,,,,,,9,Action_BEKILRHV,1.8399996439615884,-0.440000057220459,0.0,0.0,0.0,-0.07057137787342073,0.9975067377090454,
9,Action_KLONJRTD,Perceiving,1611230697.4538913,1611230706.64271,9.188818693161009,True,,,,,balea_bottle_0,,,,,,9,Action_KLONJRTD,1.5999998728434244,-0.5599999745686849,0.0,0.0,0.0,0.07899592071771623,0.9968749284744264,
9,Action_RGOIYLQF,Perceiving,1611249534.107568,1611249546.7807562,12.673188209533693,True,,,,,balea_bottle_0,,,,,,9,Action_RGOIYLQF,2.0,-0.5199999809265137,0.0,0.0,0.0,-0.1696750670671463,0.9855000376701356,
3,Action_JZVPFGHC,Perceiving,1611278907.6427505,1611278916.2671425,8.624392032623291,True,,,,,balea_bottle_0,,,,,,3,Action_JZVPFGHC,1.7199998219807944,-0.4000000953674317,0.0,0.0,0.0,-0.004163130652159453,0.9999912977218628,
7,Action_NBWYTHDK,Perceiving,1611297947.9215686,1611297960.08042,12.158851623535154,True,,,,,balea_bottle_0,,,,,,7,Action_NBWYTHDK,1.9600001017252604,-0.2400002479553223,0.0,0.0,0.0,-0.11853097379207612,0.9929503798484802,
10,Action_TVRCLGIF,Perceiving,1611292568.9157267,1611292578.6614792,9.745752573013307,True,,,,,balea_bottle_0,,,,,,10,Action_TVRCLGIF,1.679999796549479,-0.5599999745686849,0.0,0.0,0.0,0.028316011652350426,0.999599039554596,
6,Action_DIKFYUZJ,Perceiving,1611263104.160812,1611263111.485984,7.325172185897827,True,,,,,balea_bottle_0,,,,,,6,Action_DIKFYUZJ,2.03999989827474,-0.5199999809265137,0.0,0.0,0.0,-0.19213338196277616,0.9813688397407532,
2,Action_JKEOSPBW,Perceiving,1611279600.3472126,1611279610.3265789,9.979366779327393,True,,,,,balea_bottle_0,,,,,,2,Action_JKEOSPBW,1.440000025431315,-0.5599999745686849,0.0,0.0,0.0,0.1721883863210678,0.9850640296936036,
9,Action_LZGJDNIH,Perceiving,1611280315.2727432,1611280325.561196,10.288452863693236,True,,,,,balea_bottle_0,,,,,,9,Action_LZGJDNIH,1.7599997202555338,-0.5199999809265137,0.0,0.0,0.0,-0.024365531280636787,0.9997031092643738,
5,Action_DPGOJUZW,Perceiving,1611250912.8798525,1611250923.4589262,10.579073667526243,True,,,,,balea_bottle_0,,,,,,5,Action_DPGOJUZW,1.7599997202555338,-0.6399998982747396,0.0,0.0,0.0,-0.02242767810821533,0.999748468399048,
4,Action_RHLFYZNW,Perceiving,1611296593.8886135,1611296604.0280669,10.139453649520872,True,,,,,balea_bottle_0,,,,,,4,Action_RHLFYZNW,1.679999796549479,-0.440000057220459,0.0,0.0,0.0,0.01973044686019421,0.9998053312301636,
6,Action_WIQHGKLY,Perceiving,1611244275.2785306,1611244282.8812811,7.602750062942505,True,,,,,balea_bottle_0,,,,,,6,Action_WIQHGKLY,2.1599998474121094,-0.4000000953674317,0.0,0.0,0.0,-0.2297477871179581,0.9732502102851868,
