,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w,information
8,Action_TCXQVHJI,Perceiving,1611246136.6931696,1611246145.0204055,8.327236175537111,True,,,,,dish_washer_tabs_0,,,,,,8,Action_TCXQVHJI,1.0,-0.4800000190734863,0.0,0.0,0.0,0.2868669927120209,0.9579704403877258,
1,Action_IOQLNSMW,Perceiving,1611260930.6061792,1611260939.419475,8.813296079635618,True,,,,,dish_washer_tabs_0,,,,,,1,Action_IOQLNSMW,1.0399999618530271,-0.440000057220459,0.0,0.0,0.0,0.261775016784668,0.9651289582252502,
5,Action_ZMRHGLTC,Perceiving,1611295082.2914422,1611295092.027503,9.736060857772829,True,,,,,dish_washer_tabs_0,,,,,,5,Action_ZMRHGLTC,1.1599998474121094,-0.5199999809265137,0.0,0.0,0.0,0.2341150790452957,0.9722089171409608,
4,Action_QUGHJRDY,Perceiving,1611229659.9857426,1611229666.662742,6.67699933052063,True,,,,,dish_washer_tabs_0,,,,,,4,Action_QUGHJRDY,1.199999745686849,-0.5199999809265137,0.0,0.0,0.0,0.21603178977966309,0.9763863086700441,
3,Action_RBIVMXGO,Perceiving,1611232311.3093345,1611232319.5334852,8.224150657653809,True,,,,,dish_washer_tabs_0,,,,,,3,Action_RBIVMXGO,1.199999745686849,-0.4000000953674317,0.0,0.0,0.0,0.1883303076028824,0.9821057319641112,
7,Action_LPFRCSVN,Perceiving,1611244741.5387125,1611244748.394539,6.855826616287232,True,,,,,dish_washer_tabs_0,,,,,,7,Action_LPFRCSVN,1.239999771118164,-0.4800000190734863,0.0,0.0,0.0,0.1876792907714844,0.9822303652763368,
11,Action_NWXBLEZF,Perceiving,1611292407.6538,1611292414.8506446,7.1968445777893075,True,,,,,dish_washer_tabs_0,,,,,,11,Action_NWXBLEZF,1.239999771118164,-0.440000057220459,0.0,0.0,0.0,0.17894524335861206,0.9838590621948242,
6,Action_HQNYLXUV,Perceiving,1611274646.387476,1611274652.44478,6.05730414390564,True,,,,,dish_washer_tabs_0,,,,,,6,Action_HQNYLXUV,1.239999771118164,-0.5199999809265137,0.0,0.0,0.0,0.1970932632684708,0.9803847074508668,
8,Action_UXMWGNOL,Perceiving,1611251781.9408221,1611251788.8734436,6.932621479034424,True,,,,,dish_washer_tabs_0,,,,,,8,Action_UXMWGNOL,1.239999771118164,-0.5199999809265137,0.0,0.0,0.0,0.1970932632684708,0.9803847074508668,
17,Action_VBJUMEWZ,Perceiving,1611262421.4890301,1611262428.3170981,6.828068017959595,True,,,,,dish_washer_tabs_0,,,,,,17,Action_VBJUMEWZ,1.239999771118164,-0.5199999809265137,0.0,0.0,0.0,0.1970932632684708,0.9803847074508668,
12,Action_WKZOEQMP,Perceiving,1611228264.8347762,1611228272.032464,7.197687864303589,True,,,,,dish_washer_tabs_0,,,,,,12,Action_WKZOEQMP,1.239999771118164,-0.5199999809265137,0.0,0.0,0.0,0.1970932632684708,0.9803847074508668,
2,Action_QUTKDNIY,Perceiving,1611245501.7688155,1611245509.5725179,7.8037025928497314,True,,,,,dish_washer_tabs_0,,,,,,2,Action_QUTKDNIY,1.2799997965494792,-0.4800000190734863,0.0,0.0,0.0,0.16846249997615814,0.9857080578804016,
3,Action_LNHJYGUM,Perceiving,1611256550.4655588,1611256557.5980597,7.132500886917113,True,,,,,dish_washer_tabs_0,,,,,,3,Action_LNHJYGUM,1.2799997965494792,-0.5199999809265137,0.0,0.0,0.0,0.1773063838481903,0.9841557145118712,
4,Action_BWHPDZQL,Perceiving,1611255950.0228467,1611255956.8058846,6.783037662506104,True,,,,,dish_washer_tabs_0,,,,,,4,Action_BWHPDZQL,1.2799997965494792,-0.3600001335144043,0.0,0.0,0.0,0.14565320312976834,0.9893357157707214,
