,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w,information
0,Action_GTOBZPNE,Perceiving,1611263287.1048927,1611263292.5135696,5.408676624298097,True,,,,,dish_washer_tabs_0,,,,,,0,Action_GTOBZPNE,3.129278564453125,-0.3719293594360352,0.0,-2.7755572306906463e-17,-2.7755572306906463e-17,0.7224054336547852,0.6914697289466858,
2,Action_CYLQTPGM,Perceiving,1611263269.0523489,1611263274.237536,5.185187101364137,True,,Action_RHCMVUTP,,,dish_washer_tabs_0,,,,,,2,Action_CYLQTPGM,3.129278564453125,-0.3719293594360352,0.0,-2.7755572306906463e-17,-2.7755572306906463e-17,0.7224054336547852,0.6914697289466858,
3,Action_OCTWKXZJ,Perceiving,1611271037.144186,1611271046.2193015,9.07511568069458,True,,,,,dish_washer_tabs_0,,,,,,3,Action_OCTWKXZJ,3.135412343343099,-0.19536978403727212,0.0,0.0,0.0,0.6211478114128113,0.7836934328079224,
7,Action_MWUPCFHX,Perceiving,1611271012.998427,1611271023.6257336,10.627306699752806,True,,Action_DZBQRTYG,,,dish_washer_tabs_0,,,,,,7,Action_MWUPCFHX,3.135412343343099,-0.19536978403727212,0.0,0.0,0.0,0.6211478114128113,0.7836934328079224,
9,Action_YJUHBOGV,Perceiving,1611234139.0685325,1611234147.1357825,8.06725001335144,True,,,,,dish_washer_tabs_0,,,,,,9,Action_YJUHBOGV,3.1381757100423178,-0.3802487373352051,0.0,2.775556899818401e-17,-2.775556899818401e-17,0.7511729598045349,0.6601054072380066,
2,Action_YUKTZHQM,Perceiving,1611234116.8210506,1611234125.3009176,8.479866981506348,True,,Action_LODVPCIM,,,dish_washer_tabs_0,,,,,,2,Action_YUKTZHQM,3.1381757100423178,-0.3802487373352051,0.0,2.775556899818401e-17,-2.775556899818401e-17,0.7511729598045349,0.6601054072380066,
0,Action_PEUSLXBC,Perceiving,1611266981.2423766,1611266988.2806413,7.038264989852905,True,,,,,dish_washer_tabs_0,,,,,,0,Action_PEUSLXBC,3.1392588297526043,-0.2619423071543376,0.0,2.775556899818401e-17,-5.551115784870273e-17,0.7052552700042725,0.7089534401893616,
4,Action_DPKVTJEZ,Perceiving,1611266961.2911365,1611266969.1510358,7.8598992824554434,True,,Action_QHLOISBR,,,dish_washer_tabs_0,,,,,,4,Action_DPKVTJEZ,3.1392588297526043,-0.2619423071543376,0.0,2.775556899818401e-17,-5.551115784870273e-17,0.7052552700042725,0.7089534401893616,
10,Action_EGUFJYZO,Perceiving,1611255031.1399546,1611255036.5022025,5.362247943878174,True,,Action_WXSICDVH,,,dish_washer_tabs_0,,,,,,10,Action_EGUFJYZO,3.144835662841797,-0.2978750864664714,0.0,0.0,0.0,0.7192420363426208,0.6947596073150635,
3,Action_XKTFNBHP,Perceiving,1611255050.166249,1611255055.4435265,5.2772772312164316,True,,,,,dish_washer_tabs_0,,,,,,3,Action_XKTFNBHP,3.144835662841797,-0.2978750864664714,0.0,0.0,0.0,0.7192420363426208,0.6947596073150635,
