,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w,information
1,Action_EYINFUHX,Grasping,1600364858.4497776,1600364858.6790645,0.22928714752197266,True,,Action_TWIHPCGZ,,,,, :RIGHT,,,,1,Action_EYINFUHX,0.6399998982747396,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.4539316296577454,0.8910365104675293,Opening: IAI-FRIDGE-DOOR
10,Action_DXPGZJCT,Grasping,1600364857.2617645,1600364858.186933,0.9251685142517091,True,,Action_TWIHPCGZ,,,,,,,,,10,Action_DXPGZJCT,0.6399998982747396,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.4539316296577454,0.8910365104675293,Opening: IAI-FRIDGE-DOOR
3,Action_HKGUXNOI,Grasping,1600382357.3164086,1600382358.1372907,0.8208820819854736,True,,Action_SOEBUTKR,,,,,,,,,3,Action_HKGUXNOI,0.3433941523234049,-0.9829895655314128,3.814697266402156e-09,0.0,0.0,-0.2657569944858551,0.9640400409698486,Closing: IAI-FRIDGE-DOOR
4,Action_ZBMQDKLJ,Grasping,1600382274.114525,1600382274.293831,0.1793057918548584,True,,Action_BRSCWTOP,,,,, :RIGHT,,,,4,Action_ZBMQDKLJ,0.3218875885009765,-0.6575326283772787,3.814697266402156e-09,0.0,0.0,-0.20935919880867004,0.9778388142585754,Opening: IAI-FRIDGE-DOOR
5,Action_DPBQUMYI,Grasping,1600382273.0288124,1600382273.8861237,0.8573110103607178,True,,Action_BRSCWTOP,,,,,,,,,5,Action_DPBQUMYI,0.3218875885009765,-0.6575326283772787,3.814697266402156e-09,0.0,0.0,-0.20935919880867004,0.9778388142585754,Opening: IAI-FRIDGE-DOOR
0,Action_OMQBCXUF,Grasping,1600371426.3863618,1600371426.6149948,0.2286326885223389,True,,Action_XMWIBRFS,,,,, :RIGHT,,,,0,Action_OMQBCXUF,0.6399998982747396,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.4539316296577454,0.8910365104675293,Opening: IAI-FRIDGE-DOOR
4,Action_FLXTMQZC,Grasping,1600371495.2982204,1600371497.1002157,1.8019955158233645,True,,Action_JHVGDOUP,,,,,,,,,4,Action_FLXTMQZC,0.488342539469401,-0.8427196502685547,3.814697266402156e-09,0.0,0.0,-0.36901527643203735,0.9294233322143556,Closing: IAI-FRIDGE-DOOR
5,Action_ODULYFCS,Grasping,1600371425.3101122,1600371426.145423,0.835310697555542,True,,Action_XMWIBRFS,,,,,,,,,5,Action_ODULYFCS,0.6399998982747396,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.4539316296577454,0.8910365104675293,Opening: IAI-FRIDGE-DOOR
2,Action_TBQOZRXF,Grasping,1600396835.666544,1600396836.4549248,0.7883808612823486,True,,Action_FXGRQELT,,,,,,,,,2,Action_TBQOZRXF,0.3599996566772461,-0.6800003051757812,3.814697266402156e-09,0.0,0.0,-0.2958277761936188,0.955241322517395,Opening: IAI-FRIDGE-DOOR
3,Action_POWTEVKQ,Grasping,1600396836.6480155,1600396836.873422,0.2254064083099365,True,,Action_FXGRQELT,,,,, :RIGHT,,,,3,Action_POWTEVKQ,0.3599996566772461,-0.6800003051757812,3.814697266402156e-09,0.0,0.0,-0.2958277761936188,0.955241322517395,Opening: IAI-FRIDGE-DOOR
