,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w
1,Action_FHEYQORT,Grasping,1600370134.7422411,1600370135.3939831,0.6517419815063477,False,CRAMGripperClosedCompletely,Action_ZLYJBQCG,,,milk_1,, :LEFT,Front,,,1,Action_FHEYQORT,0.5599999745686849,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.5223487615585327,0.8527319431304932
2,Action_UPDCGZHT,Grasping,1600370111.4975786,1600370111.9872944,0.4897158145904541,False,CRAMGripperClosedCompletely,Action_EUFDORZS,,,milk_1,, :LEFT,Front,,,2,Action_UPDCGZHT,0.5599999745686849,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.5223487615585327,0.8527319431304932
3,Action_IRCTLHQY,Grasping,1600370158.305507,1600370158.8850636,0.579556941986084,True,,Action_TNVEHCXO,,,milk_1,, :LEFT,Front,,,3,Action_IRCTLHQY,0.20884283383687335,-1.2182071685791016,3.814697266402156e-09,0.0,0.0,-0.12141954153776167,0.9926012754440308
5,Action_IEQOZVWJ,Grasping,1600370120.9465182,1600370121.4412775,0.4947593212127686,False,CRAMGripperClosedCompletely,Action_YOIEGQHV,,,milk_1,, :LEFT,Front,,,5,Action_IEQOZVWJ,0.5599999745686849,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.5223487615585327,0.8527319431304932
6,Action_GECDYHJO,Grasping,1600370144.465741,1600370144.948224,0.4824831485748291,False,CRAMGripperClosedCompletely,Action_OSEZKXJY,,,milk_1,, :LEFT,Front,,,6,Action_GECDYHJO,0.5599999745686849,-0.440000057220459,3.814697266402156e-09,0.0,0.0,-0.5223487615585327,0.8527319431304932
0,Action_UFJPBCMN,Grasping,1600354197.9782038,1600354198.467794,0.4895901679992676,True,,Action_NYRVFWLO,,,milk_1,, :LEFT,Front,,,0,Action_UFJPBCMN,0.3409724871317545,-1.0876022338867188,3.814697266402156e-09,0.0,0.0,-0.16900473833084104,0.9856152534484864
0,Action_BWYQFEHV,Grasping,1600381217.1922665,1600381217.6391516,0.4468851089477539,False,CRAMGripperClosedCompletely,Action_WDRNJYGV,,,milk_1,, :LEFT,Front,,,0,Action_BWYQFEHV,0.8399996439615885,-0.4000000953674317,3.814697266402156e-09,0.0,0.0,-0.6591827273368835,0.7519828081130981
2,Action_ILUOYGXE,Grasping,1600381230.9251864,1600381231.4369915,0.5118052959442139,False,CRAMGripperClosedCompletely,Action_ZXYSIGKF,,,milk_1,, :LEFT,Front,,,2,Action_ILUOYGXE,0.8399996439615885,-0.4000000953674317,3.814697266402156e-09,0.0,0.0,-0.6591827273368835,0.7519828081130981
3,Action_TLQVUEXM,Grasping,1600381207.1836205,1600381207.6712687,0.4876482486724854,False,CRAMGripperClosedCompletely,Action_BEJIPHVN,,,milk_1,, :LEFT,Front,,,3,Action_TLQVUEXM,0.8399996439615885,-0.4000000953674317,3.814697266402156e-09,0.0,0.0,-0.6591827273368835,0.7519828081130981
4,Action_NFHQZGOJ,Grasping,1600381255.9533608,1600381256.505111,0.5517501831054688,True,,Action_SIPQOUCB,,,milk_1,, :LEFT,Front,,,4,Action_NFHQZGOJ,0.5532632191975911,-0.8692149480183919,3.814697266402156e-09,0.0,0.0,-0.5214422941207886,0.8532865643501282
5,Action_JTEZNGKY,Grasping,1600381241.2333653,1600381241.7653637,0.5319983959197998,False,CRAMGripperClosedCompletely,Action_WEPIVGUX,,,milk_1,, :LEFT,Front,,,5,Action_JTEZNGKY,0.8399996439615885,-0.4000000953674317,3.814697266402156e-09,0.0,0.0,-0.6591827273368835,0.7519828081130981
0,Action_KGQVFLDE,Grasping,1600384872.61387,1600384873.3176253,0.7037553787231445,True,,Action_RZSDIKUQ,,,milk_1,, :LEFT,Front,,,0,Action_KGQVFLDE,0.32838188807169594,-1.0948699951171874,3.814697266402156e-09,0.0,0.0,-0.16015614569187164,0.9870916604995728
1,Action_HGQTSOKP,Grasping,1600384838.98773,1600384839.5370703,0.5493402481079102,False,CRAMGripperClosedCompletely,Action_YVWXFKIC,,,milk_1,, :LEFT,Front,,,1,Action_HGQTSOKP,0.07999992370605469,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2484427988529205,0.9686465859413148
2,Action_MTLBOPQW,Grasping,1600384824.8449602,1600384825.356097,0.5111367702484131,False,CRAMGripperClosedCompletely,Action_IWRJMNZP,,,milk_1,, :LEFT,Front,,,2,Action_MTLBOPQW,0.7599997202555339,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6121619343757629,0.7907323837280273
3,Action_DLIBNUXW,Grasping,1600384800.101939,1600384800.6354964,0.5335574150085449,False,CRAMGripperClosedCompletely,Action_GIOYMWPE,,,milk_1,, :LEFT,Front,,,3,Action_DLIBNUXW,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
4,Action_PWUJYFQI,Grasping,1600384789.4158256,1600384789.91556,0.4997344017028809,False,CRAMGripperClosedCompletely,Action_KMQDEUCW,,,milk_1,, :LEFT,Front,,,4,Action_PWUJYFQI,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
5,Action_VQFIRCSX,Grasping,1600384849.907633,1600384850.4696088,0.5619757175445557,False,CRAMGripperClosedCompletely,Action_DWMPJXCS,,,milk_1,, :LEFT,Front,,,5,Action_VQFIRCSX,0.07999992370605469,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2484427988529205,0.9686465859413148
6,Action_JCKQEPWR,Grasping,1600384774.3245795,1600384774.8032746,0.4786949157714844,False,CRAMGripperClosedCompletely,Action_IUORGDWC,,,milk_1,, :LEFT,Front,,,6,Action_JCKQEPWR,0.7999997456868491,-0.3600001335144043,3.814697266402156e-09,0.0,0.0,-0.6437739133834839,0.7652157545089722
8,Action_WPTOSYQI,Grasping,1600384813.8668025,1600384814.520771,0.6539685726165771,False,CRAMGripperClosedCompletely,Action_YUQZVOXL,,,milk_1,, :LEFT,Front,,,8,Action_WPTOSYQI,0.7599997202555339,-0.4800000190734863,3.814697266402156e-09,0.0,0.0,-0.6121619343757629,0.7907323837280273
9,Action_HSVXMFCU,Grasping,1600384759.3122625,1600384759.8578866,0.5456242561340332,False,CRAMGripperClosedCompletely,Action_XULZCOPF,,,milk_1,, :LEFT,Front,,,9,Action_HSVXMFCU,0.7999997456868491,-0.3600001335144043,3.814697266402156e-09,0.0,0.0,-0.6437739133834839,0.7652157545089722
1,Action_KJHMLRBS,Grasping,1600357554.9328055,1600357555.4560266,0.5232210159301758,True,,Action_XRYUPKVQ,,,milk_1,, :LEFT,Front,,,1,Action_KJHMLRBS,0.3309673627217611,-1.0217142740885417,3.814697266402156e-09,0.0,0.0,-0.2925819158554077,0.9562404751777648
0,Action_TEBPHNGK,Grasping,1600337741.518067,1600337742.002293,0.4842262268066406,True,,Action_RZNFLQDT,,,milk_1,, :LEFT,Front,,,0,Action_TEBPHNGK,0.24055277506510414,-1.2988868713378907,3.814697266402156e-09,0.0,0.0,0.002779556205496192,0.9999961256980896
1,Action_JIOKPZQY,Grasping,1600354050.052125,1600354050.7454188,0.6932938098907471,True,,Action_MBWZRDEC,,,milk_1,, :LEFT,Front,,,1,Action_JIOKPZQY,0.4608303705851237,-0.9595827102661132,3.814697266402156e-09,0.0,0.0,-0.3142548203468323,0.949338674545288
0,Action_UPZGEJNM,Grasping,1600389167.273849,1600389167.7994444,0.5255954265594482,True,,Action_SXUKDPFZ,,,milk_1,, :LEFT,Front,,,0,Action_UPZGEJNM,0.5096749305725098,-0.9183300018310548,3.814697266402156e-09,0.0,0.0,-0.4636747241020202,0.8860054612159729
1,Action_THOUBDNQ,Grasping,1600349217.6235065,1600349218.1414237,0.5179171562194824,False,CRAMGripperClosedCompletely,Action_BSMCHTIP,,,milk_1,, :LEFT,Front,,,1,Action_THOUBDNQ,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
2,Action_FDQNYMHB,Grasping,1600349226.7461455,1600349227.26881,0.5226643085479736,False,CRAMGripperClosedCompletely,Action_DKTRZBOU,,,milk_1,, :LEFT,Front,,,2,Action_FDQNYMHB,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
3,Action_WDHKVNPR,Grasping,1600349194.657093,1600349195.1522436,0.4951505661010742,False,CRAMGripperClosedCompletely,Action_YPVEWIZS,,,milk_1,, :LEFT,Front,,,3,Action_WDHKVNPR,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
